DateTime,AddedIPs,RemovedIPs
1592532994,22,36
1592533449,11,0
1592533714,19,30
1592534374,29,28
1592535094,27,30
1592535370,15,33
1592535815,31,24
1592536535,17,25
1592537047,11,1
1592537303,38,41
1592537975,21,20
1592538693,27,20
1592539254,9,18
1592539654,37,32
1592540375,19,22
1592541094,28,22
1592541814,36,31
1592542533,133,28
1592543057,6,26
1592543254,26,28
1592543974,25,19
1592544694,32,42
1592545032,9,55
1592545413,34,20
1592546134,22,29
1592546990,41,43
1592547574,29,28
1592548294,21,27
1592548811,7,23
1592549015,34,25
1592549734,31,29
1592550455,32,22
1592550731,8,19
1592551174,1579,29
1592551685,18,2
1592551894,56,34
1592552671,120,350
1592553334,36,27
1592554054,41,35
1592554571,18,11
1592554824,36,26
1592555495,23,23
1592556214,33,29
1592556543,15,17
1592556934,38,34
1592557654,31,34
1592558431,41,66
1592559094,34,31
1592559815,34,35
1592560333,11,29
1592560534,26,29
1592561254,30,39
1592561973,44,50
1592562257,9,12
1592562695,27,33
1592563414,56,192
1592564185,39,30
1592564854,37,28
1592565575,22,50
1592566091,6,23
1592566344,37,29
1592567014,24,26
1592567735,29,45
1592568094,9,35
1592568454,25,34
1592569174,19,26
1592569951,38,46
1592570613,28,15
1592571334,20,29
1592571851,7,28
1592572054,22,33
1592572774,27,27
1592573494,27,48
1592573771,16,21
1592574214,33,25
1592574934,39,30
1592575713,34,61
1592576374,22,45
1592577095,20,27
1592577617,10,7
1592577815,18,39
1592578534,34,26
1592579255,47,22
1592579536,13,12
1592579974,165,41
1592580694,34,26
1592580970,8,3
1592581472,29,35
1592582135,18,28
1592582854,34,37
1592583370,14,11
1592583574,33,18
1592584294,18,26
1592585014,19,18
1592585289,12,6
1592585734,19,30
1592586455,15,26
1592587226,30,62
1592587894,35,18
1592588614,30,17
1592589134,16,23
1592589334,48,22
1592590054,31,27
1592590774,33,42
1592591049,8,24
1592591493,23,22
1592592215,28,24
1592592989,37,37
1592593655,19,21
1592594375,22,34
1592594889,17,16
1592595095,15,27
1592595607,6,1
1592595815,42,23
1592596534,41,17
1592596814,11,29
1592597254,38,28
1592597974,28,35
1592598484,2,0
1592598754,44,66
1592599414,19,23
1592600134,18,36
1592600652,17,0
1592600855,18,19
1592601575,20,24
1592602294,24,23
1592602571,20,28
1592603014,27,27
1592603734,21,23
1592604517,40,67
1592605175,23,24
1592605894,32,26
1592606409,15,0
1592606615,25,29
1592607335,30,25
1592608054,23,30
1592608333,22,0
1592608774,16,14
1592609495,13,14
1592610278,128,47
1592610934,13,22
1592611654,38,32
1592612174,5,12
1592612374,49,19
1592613093,36,17
1592613814,59,22
1592614535,22,28
1592615253,30,32
1592615975,28,35
1592616694,33,18
1592617414,40,19
1592617931,9,46
1592618134,38,25
1592618853,18,21
1592619574,16,20
1592620098,10,33
1592620535,49,28
1592621254,38,27
1592622035,42,34
1592622695,25,20
1592623414,24,13
1592623932,12,14
1592624135,18,27
1592624906,48,33
1592625575,27,25
1592626294,36,23
1592627014,22,20
1592627734,21,30
1592628455,26,129
1592629174,50,32
1592629949,35,91
1592630615,23,30
1592631333,21,28
1592631849,10,12
1592632054,24,35
1592632775,12,13
1592633796,38,60
1592634454,21,21
1592635174,25,22
1592635894,21,32
1592636613,21,30
1592637334,19,32
1592637609,7,31
1592638055,23,691
1592638775,328,2178
1592639553,29,57
1592640215,38,40
1592640935,441,37
1592641450,9,0
1592641654,44,20
1592642169,1,0
1592642375,34,28
1592643093,52,31
1592643369,6,13
1592643813,31,40
1592644534,43,24
1592645306,58,39
1592645974,28,33
1592646695,23,32
1592647211,8,17
1592647655,42,34
1592648375,30,44
1592649149,39,36
1592649814,22,49
1592650535,16,31
1592651056,10,24
1592651254,27,38
1592651974,19,25
1592652694,16,21
1592652972,12,12
1592653414,38,18
1592654183,39,28
1592655157,39,48
1592655815,23,17
1592656535,28,20
1592657253,41,23
1592657973,29,17
1592658693,34,31
1592659273,18,31
1592659415,27,20
1592660134,24,29
1592660855,20,30
1592661574,24,30
1592662294,21,23
1592663078,45,53
1592663733,25,13
1592664455,20,23
1592664979,10,24
1592665174,28,37
1592665894,19,41
1592667209,36,200
1592667573,17,22
1592668294,23,19
1592668819,13,1
1592669068,30,54
1592669734,28,29
1592670453,14,29
1592670967,5,28
1592671174,16,15
1592671895,25,15
1592672615,20,20
1592672891,7,24
1592673333,23,13
1592674055,26,31
1592674825,39,39
1592675494,9,29
1592676216,21,52
1592676737,14,12
1592676935,22,29
1592677654,15,26
1592678374,12,27
1592678652,11,17
1592679095,22,23
1592679814,30,18
1592680585,22,51
1592681254,22,18
1592681974,25,31
1592682489,17,8
1592682694,18,35
1592683709,31,55
1592684424,33,53
1592685095,16,25
1592685867,16,16
1592686535,55,18
1592687254,19,20
1592687975,18,18
1592688250,14,18
1592688694,19,20
1592689414,18,27
1592690185,33,45
1592690855,17,26
1592691574,11,20
1592692089,9,28
1592692294,22,31
1592693015,23,26
1592693735,13,23
1592694019,1,18
1592694454,18,22
1592695175,101,20
1592695947,25,37
1592696614,18,87
1592697334,28,15
1592698054,15,36
1592698327,8,1
1592698774,28,50
1592699494,27,35
1592700011,10,51
1592700215,20,44
1592700934,21,36
1592701655,16,25
1592701932,9,19
1592702374,20,30
1592703094,17,28
1592703869,32,53
1592704534,41,34
1592705254,43,20
1592705772,7,25
1592705974,22,15
1592706695,13,33
1592707415,21,32
1592707691,9,18
1592708134,28,40
1592708854,33,24
1592709574,26,23
1592710294,159,21
1592711015,28,27
1592712112,41,94
1592712694,16,33
1592712967,12,1
1592713414,25,21
1592713943,8,0
1592714134,19,19
1592714854,14,27
1592715576,20,46
1592715852,9,14
1592716294,18,19
1592717015,18,20
1592717798,36,64
1592718454,19,23
1592719174,22,12
1592719694,6,0
1592719894,29,24
1592720615,18,22
1592721335,22,22
1592721608,18,12
1592722054,18,19
1592722774,46,22
1592723551,63,53
1592724214,45,19
1592724935,37,17
1592725451,2135,24
1592725654,32,277
1592726374,20,33
1592727094,14,52
1592727367,2,14
1592727605,11,0
1592727815,19,36
1592728534,20,38
1592729311,28,64
1592729528,2,0
1592729975,18,38
1592730693,18,29
1592731210,8,20
1592731414,20,39
1592732134,31,41
1592732854,40,30
1592733131,8,8
1592733575,39,30
1592734295,29,25
1592735071,31,40
1592735733,20,18
1592736454,24,21
1592736967,13,17
1592737175,33,15
1592738134,50,32
1592738907,45,33
1592739574,19,32
1592740294,20,19
1592740810,11,27
1592741015,21,24
1592741734,19,23
1592742246,7,1
1592742455,23,22
1592742733,7,25
1592743174,17,33
1592743894,22,34
1592744668,25,61
1592745334,18,29
1592746054,17,20
1592746569,8,20
1592746774,14,28
1592747495,17,21
1592748215,31,23
1592748489,10,19
1592748934,56,23
1592749654,41,29
1592750428,54,24
1592751094,12,22
1592752054,32,34
1592752328,12,4
1592752775,17,18
1592753495,887,17
1592754269,31,31
1592754934,38,16
1592755653,30,18
1592756166,10,2
1592756375,18,26
1592756886,14,0
1592757095,23,14
1592757815,17,20
1592758090,12,0
1592758535,39,20
1592759255,67,20
1592760025,64,55
1592760693,47,27
1592761414,29,25
1592762134,30,11
1592763095,27,30
1592763868,82,46
1592764534,27,14
1592765255,27,17
1592765770,5,8
1592765974,19,27
1592766694,22,22
1592767414,16,18
1592767686,14,37
1592768134,28,21
1592768854,19,18
1592769631,30,51
1592770294,29,14
1592771014,17,19
1592771533,13,40
1592771734,17,15
1592772454,20,54
1592773231,37,15
1592773695,7,27
1592773895,30,19
1592774615,29,20
1592775334,34,12
1592775609,7,16
1592776054,39,22
1592776775,27,17
1592777557,26,25
1592778214,19,11
1592778934,23,27
1592779452,10,22
1592779653,15,19
1592780374,14,19
1592781094,17,96
1592781814,23,15
1592782534,23,16
1592783307,26,56
1592783975,13,18
1592784693,13,18
1592785208,7,42
1592785414,24,33
1592786186,55,24
1592786854,22,21
1592787128,6,11
1592787575,23,16
1592788294,24,23
1592789071,30,44
1592789735,49,23
1592790454,22,18
1592790967,15,14
1592791174,18,44
1592791894,18,33
1592792614,23,17
1592793334,18,19
1592794054,25,18
1592794774,20,37
1592795495,14,30
1592796214,16,147
1592796730,15,99
1592796934,32,22
1592797655,31,29
1592798374,28,18
1592798648,4,32
1592799095,18,19
1592799815,54,23
1592800591,27,36
1592800805,22,0
1592801254,15,15
1592801973,21,16
1592802501,16,14
1592802695,32,20
1592803415,28,16
1592804134,25,20
1592804414,11,25
1592804854,26,18
1592805573,23,24
1592806588,41,55
1592807255,18,20
1592807974,25,22
1592808490,13,13
1592808694,974,16
1592809414,47,54
1592810135,22,50
1592810408,6,28
1592810854,18,39
1592811574,47,4161
1592812346,28,44
1592813015,21,17
1592813735,20,15
1592814249,3,35
1592814454,15,15
1592815174,18,19
1592815446,7,0
1592815894,21,25
1592816169,7,23
1592816615,26,16
1592817142,2,0
1592817575,32,28
1592818086,9,39
1592818294,19,19
1592819014,24,39
1592819734,31,41
1592820013,14,24
1592820455,31,39
1592821175,35,15
