DateTime,AddedIPs,RemovedIPs
1592404921,9,9
1592405521,38,37
1592406121,18,18
1592407322,50,50
1592407921,42,42
1592408521,11,11
1592409122,46,46
1592410321,54,54
1592411521,86,86
1592412122,37,37
1592413321,89,89
1592413922,59,59
1592415121,95,95
1592416321,56,56
1592416921,33,33
1592418121,29,29
1592419321,62,62
1592419921,82,82
1592420521,42,42
1592421121,28,28
1592421721,69,69
1592422322,41,41
1592422921,87,87
1592424121,98,98
1592425321,98,98
1592425921,80,80
1592426522,79,79
1592427121,40,40
1592427722,64,64
1592428321,28,28
1592428921,58,58
1592429521,83,83
1592430121,53,53
1592431321,66,67
1592431922,40,40
1592432522,81,80
1592433721,100,100
1592434322,32,32
1592434922,52,52
1592436121,94,94
1592437322,94,94
1592438521,92,92
1592439721,98,98
1592440321,62,62
1592440921,72,72
1592441521,42,42
1592442722,69,69
1592443321,20,20
1592443922,48,48
1592444521,32,32
1592445121,20,20
1592445721,21,21
1592446922,29,29
1592447521,16,16
1592448121,46,46
1592449321,49,49
1592450521,83,83
1592451721,86,86
1592452322,36,36
1592453521,74,74
1592454121,20,20
1592455921,89,89
1592457122,70,70
1592457721,8,8
1592458321,27,27
1592458921,23,23
1592460122,46,46
1592460722,23,23
1592461321,12,12
1592462522,32,32
1592463121,16,16
1592464921,40,40
1592466122,18,18
1592466721,6,6
1592467921,90,90
1592468521,55,55
1592469121,17,17
1592469722,41,41
1592471521,43,43
1592472121,51,51
1592473321,72,72
1592474522,69,69
1592475121,40,40
1592475722,40,40
1592476321,22,22
1592477521,74,74
1592478721,93,93
1592479321,55,55
1592479922,34,34
1592481122,95,95
1592481721,33,33
1592482321,16,16
1592482921,44,44
1592483521,34,34
1592484121,20,20
1592484721,48,48
1592485322,15,15
1592485921,13,13
1592486521,62,62
1592487121,48,48
1592488321,81,82
1592489522,78,78
1592490121,41,41
1592491321,96,95
1592492521,53,53
1592493121,22,22
1592493722,10,10
1592494922,47,47
1592496121,33,33
1592497321,52,52
1592497921,16,16
1592498521,41,42
1592499121,29,29
1592499722,51,50
1592500921,92,92
1592501521,30,30
1592502121,58,58
1592503322,81,81
1592504521,90,90
1592505721,76,76
1592506921,96,96
1592507521,18,18
1592508121,31,31
1592509321,94,94
1592509921,39,39
1592511121,99,99
1592512321,84,84
1592512921,31,31
1592513521,42,42
1592514721,85,85
1592515321,29,29
1592516521,96,96
1592517721,99,99
1592518921,92,92
1592519521,56,56
1592520121,29,29
1592521321,77,77
1592521921,75,75
1592522521,53,53
1592523121,86,86
1592523721,43,43
1592524922,74,74
1592526121,73,73
1592526721,49,49
1592527321,42,42
1592528521,73,73
1592529721,75,75
1592530921,93,93
1592531521,18,18
1592533321,87,88
1592534521,91,90
1592535721,73,73
1592536921,24,24
1592538122,22,22
1592539321,33,33
1592540521,67,67
1592541721,72,72
1592542321,65,65
1592542921,39,39
1592544121,77,78
1592545321,66,65
1592545922,40,40
1592546521,84,84
1592547121,16,16
1592547722,64,64
1592548921,30,30
1592550121,92,92
1592550721,30,30
1592551321,61,61
1592552521,71,71
1592553121,30,30
1592554322,90,90
1592555521,88,88
1592556122,47,47
1592556721,59,59
1592557321,39,39
1592557921,54,54
1592559121,52,52
1592560321,90,90
1592560922,26,26
1592561521,44,44
1592562122,25,25
1592562721,26,26
1592563321,35,35
1592563921,47,47
1592564521,23,23
1592565121,73,73
1592565721,24,24
1592566321,20,20
1592566921,52,52
1592567522,31,31
1592568721,79,79
1592569321,23,23
1592570521,59,59
1592571721,92,92
1592572921,59,59
1592573521,15,15
1592574121,68,68
1592574721,39,39
1592575321,27,27
1592575922,58,58
1592577121,92,92
1592577721,68,68
1592578321,30,30
1592578922,47,47
1592579521,32,32
1592580721,91,91
1592581321,50,50
1592581922,25,25
1592582521,22,22
1592583122,38,38
1592583721,42,42
1592584321,23,23
1592584921,16,16
1592585522,40,40
1592586121,30,30
1592587322,67,67
1592587921,43,43
1592588521,55,55
1592589121,46,46
1592589722,48,48
1592590921,85,85
1592592122,89,89
1592593322,85,85
1592594521,76,76
1592595122,37,37
1592596321,60,60
1592597521,65,65
1592598122,51,51
1592598721,48,48
1592599321,33,33
1592600521,75,75
1592601721,85,85
1592602321,42,42
1592602922,56,56
1592603521,21,21
1592604121,14,14
1592605321,43,43
1592606521,81,81
1592607722,60,60
1592608321,58,58
1592608921,21,21
1592610121,75,75
1592611322,78,78
1592611921,55,55
1592612521,33,33
1592613721,60,60
1592614321,39,39
1592614922,22,22
1592616122,55,55
1592616721,53,53
1592617321,54,54
1592617921,26,26
1592618521,20,20
1592619721,85,85
1592620321,44,44
1592620921,43,43
1592622121,79,79
1592623321,83,83
1592624521,84,84
1592625721,82,82
1592626921,88,88
1592628121,74,74
1592629322,65,65
1592630522,58,58
1592631122,45,45
1592632321,98,98
1592633521,91,91
1592634121,27,27
1592635321,73,73
1592636522,87,87
1592637721,95,95
1592638922,87,87
1592639522,27,27
1592640721,68,68
1592641321,29,29
1592642521,82,82
1592643121,18,18
1592643721,45,45
1592644322,43,43
1592644921,22,22
1592645521,20,20
1592646121,57,57
1592646721,55,55
1592647321,45,45
1592647921,29,29
1592648521,35,35
1592649121,24,24
1592649721,37,37
1592650321,9,9
1592651522,61,61
1592652722,33,33
1592653322,25,25
1592653921,26,26
1592654521,8,8
1592655121,34,34
1592655721,11,11
1592656322,27,27
1592656921,27,27
1592657521,24,24
1592658121,7,7
1592658721,13,13
1592659321,41,41
1592659921,10,10
1592660521,16,16
1592661721,29,29
1592662921,11,11
1592664121,22,22
1592665322,70,70
1592665921,22,22
1592666521,92,92
1592667122,36,36
1592667721,46,46
1592668321,40,40
1592668921,29,29
1592669521,41,41
1592670122,45,45
1592670722,63,63
1592671321,55,55
1592671921,36,36
1592672521,76,76
1592673721,79,79
1592674322,40,40
1592675521,78,78
1592676721,91,91
1592677321,35,35
1592677921,91,91
1592678522,40,40
1592679121,83,83
1592679721,39,39
1592680321,79,80
1592680922,41,41
1592681521,34,34
1592682121,55,54
1592682721,42,42
1592683921,90,90
1592684521,96,96
1592685121,70,70
1592685722,70,70
1592686322,35,35
1592686921,50,50
1592687521,29,29
1592688121,26,26
1592689322,77,77
1592690522,79,79
1592691721,92,92
1592692921,97,97
1592694121,91,91
1592695322,79,79
1592695921,76,76
1592696521,62,62
1592697121,57,57
1592697721,66,66
1592698922,97,97
1592700121,94,94
1592701321,98,98
1592701921,35,35
1592702521,37,37
1592703121,14,14
1592703722,99,99
1592704921,96,96
1592706121,88,88
1592707321,84,84
1592707921,68,68
1592708521,53,53
1592709121,62,62
1592709722,51,51
1592710921,94,94
1592711521,40,40
1592712122,78,78
1592712721,51,51
1592714521,88,88
1592715721,50,50
1592716921,73,73
1592717522,60,60
1592718121,84,84
1592718721,37,37
1592719921,56,56
1592720521,33,33
1592721121,42,42
1592722321,98,98
1592722922,44,44
1592724121,80,80
1592725321,35,35
1592726521,65,65
1592727721,51,51
1592728921,49,49
1592729521,59,59
1592730122,8,8
1592730721,97,97
1592731321,96,96
1592732521,93,93
1592733121,29,29
1592733721,19,19
1592734922,40,40
1592735522,23,23
1592736121,33,33
1592736721,57,57
1592737321,9,9
1592737921,75,75
1592738521,21,21
1592739063,43,43
1592739722,38,38
1592740321,9,9
1592740921,55,55
1592741521,9,9
1592742121,51,51
1592742721,64,64
1592743921,91,91
1592744521,60,60
1592745722,38,38
1592746921,90,90
1592748121,40,40
1592749321,46,46
1592749921,21,21
1592750521,59,59
1592751122,27,27
1592751721,29,29
1592752921,91,91
1592753521,44,44
1592754121,53,53
1592755321,93,93
1592756521,77,77
1592757121,14,14
1592758322,74,74
1592758921,75,75
1592759521,39,39
1592760122,79,79
1592761321,97,97
1592761921,48,48
1592762522,27,27
1592763121,49,49
1592763721,31,31
1592764321,41,41
1592765521,83,83
1592766121,38,38
1592766721,58,58
1592767921,56,56
1592768521,51,51
1592769121,29,29
1592769721,34,34
1592770921,89,89
1592771521,52,52
1592772721,79,79
1592773322,36,36
1592774521,91,91
1592775721,79,79
1592776921,91,91
1592777522,78,78
1592778121,47,47
1592778721,81,81
1592779922,99,99
1592781121,93,93
1592781721,40,40
1592782321,33,33
1592782921,56,56
1592784121,93,93
1592785321,94,94
1592786521,79,79
1592787121,44,44
1592787721,43,43
1592788921,76,76
1592789391,36,36
1592790491,95,95
1592791093,93,93
1592791322,76,76
1592791921,31,31
1592792521,48,48
1592793721,83,83
1592794921,88,88
1592796122,90,90
1592797321,69,69
1592798522,80,80
1592799721,74,74
1592800921,84,84
1592802122,64,64
1592803321,90,90
1592804522,74,74
1592805721,66,66
1592806475,71,71
1592806921,14,14
1592808122,32,32
1592809322,66,66
1592810522,92,92
1592810881,11,11
1592811205,62,62
1592811721,53,53
1592812321,16,16
1592813521,84,84
1592814121,34,34
1592814721,23,23
1592815679,58,58
1592815921,30,30
1592816521,42,42
1592817722,63,63
1592818921,17,17
1592819521,30,30
1592820121,19,19
1592820721,14,14
1592821321,87,87
